K_ENTIDAD,nom_ent,K_MUNICIPIO,nom_mun,K_ENTIDAD_MUNICIPIO
01,Aguascalientes,001,Aguascalientes,01001
01,Aguascalientes,005,Jesús María,01005
01,Aguascalientes,003,Calvillo,01003
01,Aguascalientes,007,Rincón de Romos,01007
01,Aguascalientes,006,Pabellón de Arteaga,01006
01,Aguascalientes,002,Asientos,01002
01,Aguascalientes,011,San Francisco de los Romo,01011
01,Aguascalientes,009,Tepezalá,01009
01,Aguascalientes,010,El Llano,01010
01,Aguascalientes,004,Cosío,01004
01,Aguascalientes,008,San José de Gracia,01008
02,Baja California,004,Tijuana,02004
02,Baja California,002,Mexicali,02002
02,Baja California,001,Ensenada,02001
02,Baja California,003,Tecate,02003
02,Baja California,005,Playas de Rosarito,02005
03,Baja California Sur,008,Los Cabos,03008
03,Baja California Sur,003,La Paz,03003
03,Baja California Sur,001,Comondú,03001
03,Baja California Sur,002,Mulegé,03002
03,Baja California Sur,009,Loreto,03009
04,Campeche,002,Campeche,04002
04,Campeche,003,Carmen,04003
04,Campeche,004,Champotón,04004
04,Campeche,009,Escárcega,04009
04,Campeche,001,Calkiní,04001
04,Campeche,011,Candelaria,04011
04,Campeche,006,Hopelchén,04006
04,Campeche,005,Hecelchakán,04005
04,Campeche,010,Calakmul,04010
04,Campeche,008,Tenabo,04008
04,Campeche,007,Palizada,04007
05,Coahuila de Zaragoza,030,Saltillo,05030
05,Coahuila de Zaragoza,035,Torreón,05035
05,Coahuila de Zaragoza,018,Monclova,05018
05,Coahuila de Zaragoza,025,Piedras Negras,05025
05,Coahuila de Zaragoza,002,Acuña,05002
05,Coahuila de Zaragoza,017,Matamoros,05017
05,Coahuila de Zaragoza,033,San Pedro,05033
05,Coahuila de Zaragoza,027,Ramos Arizpe,05027
05,Coahuila de Zaragoza,010,Frontera,05010
05,Coahuila de Zaragoza,020,Múzquiz,05020
05,Coahuila de Zaragoza,028,Sabinas,05028
05,Coahuila de Zaragoza,009,Francisco I. Madero,05009
05,Coahuila de Zaragoza,024,Parras,05024
05,Coahuila de Zaragoza,032,San Juan de Sabinas,05032
05,Coahuila de Zaragoza,022,Nava,05022
05,Coahuila de Zaragoza,006,Castaños,05006
