FOLIO,CONCESIONARIO,FECHA,ANIO,MES,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,A_TOTAL_E,A_V1_E,A_V2_E,A_V3_E,A_V4_E
100405,"ULTRAVISION, S.A. DE C.V.",15JAN2013,2013,01,C611,ULTRAVISION,C611,ULTRAVISION,710,0,710,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15FEB2013,2013,02,C611,ULTRAVISION,C611,ULTRAVISION,718,0,718,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15MAR2013,2013,03,C611,ULTRAVISION,C611,ULTRAVISION,725,0,725,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15APR2013,2013,04,C611,ULTRAVISION,C611,ULTRAVISION,717,0,717,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15MAY2013,2013,05,C611,ULTRAVISION,C611,ULTRAVISION,729,0,729,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15JUN2013,2013,06,C611,ULTRAVISION,C611,ULTRAVISION,725,0,725,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15JUL2013,2013,07,C611,ULTRAVISION,C611,ULTRAVISION,738,0,738,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15AUG2013,2013,08,C611,ULTRAVISION,C611,ULTRAVISION,744,0,744,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15SEP2013,2013,09,C611,ULTRAVISION,C611,ULTRAVISION,745,0,745,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15OCT2013,2013,10,C611,ULTRAVISION,C611,ULTRAVISION,750,0,750,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15NOV2013,2013,11,C611,ULTRAVISION,C611,ULTRAVISION,771,0,771,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15DEC2013,2013,12,C611,ULTRAVISION,C611,ULTRAVISION,788,0,788,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15JAN2014,2014,01,C611,ULTRAVISION,C611,ULTRAVISION,801,0,801,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15FEB2014,2014,02,C611,ULTRAVISION,C611,ULTRAVISION,815,0,815,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15MAR2014,2014,03,C611,ULTRAVISION,C611,ULTRAVISION,829,0,829,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15APR2014,2014,04,C611,ULTRAVISION,C611,ULTRAVISION,845,0,845,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15MAY2014,2014,05,C611,ULTRAVISION,C611,ULTRAVISION,863,0,863,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15JUN2014,2014,06,C611,ULTRAVISION,C611,ULTRAVISION,868,0,868,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15JUL2014,2014,07,C611,ULTRAVISION,C611,ULTRAVISION,879,0,879,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15AUG2014,2014,08,C611,ULTRAVISION,C611,ULTRAVISION,899,0,899,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15SEP2014,2014,09,C611,ULTRAVISION,C611,ULTRAVISION,903,0,903,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15OCT2014,2014,10,C611,ULTRAVISION,C611,ULTRAVISION,918,0,918,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15NOV2014,2014,11,C611,ULTRAVISION,C611,ULTRAVISION,940,0,940,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15DEC2014,2014,12,C611,ULTRAVISION,C611,ULTRAVISION,974,0,974,0,0
100405,"ULTRAVISION, S.A. DE C.V.",15JAN2015,2015,01,C611,ULTRAVISION,C611,ULTRAVISION,"1,061",0,"1,061",0,0
100405,"ULTRAVISION, S.A. DE C.V.",15FEB2015,2015,02,C611,ULTRAVISION,C611,ULTRAVISION,"1,069",0,"1,069",0,0
100405,"ULTRAVISION, S.A. DE C.V.",15MAR2015,2015,03,C611,ULTRAVISION,C611,ULTRAVISION,"1,135",0,"1,135",0,0
100405,"ULTRAVISION, S.A. DE C.V.",15APR2015,2015,04,C611,ULTRAVISION,C611,ULTRAVISION,"1,230",0,"1,230",0,0
100405,"ULTRAVISION, S.A. DE C.V.",15MAY2015,2015,05,C611,ULTRAVISION,C611,ULTRAVISION,"1,271",0,"1,271",0,0
100405,"ULTRAVISION, S.A. DE C.V.",15JUN2015,2015,06,C611,ULTRAVISION,C611,ULTRAVISION,"1,290",0,"1,290",0,0
100405,"ULTRAVISION, S.A. DE C.V.",15JUL2015,2015,07,C611,ULTRAVISION,C611,ULTRAVISION,"1,291",3,"1,275",13,0
100405,"ULTRAVISION, S.A. DE C.V.",15AUG2015,2015,08,C611,ULTRAVISION,C611,ULTRAVISION,"1,365",3,"1,349",13,0
100405,"ULTRAVISION, S.A. DE C.V.",15SEP2015,2015,09,C611,ULTRAVISION,C611,ULTRAVISION,"1,392",3,"1,376",13,0
100405,"ULTRAVISION, S.A. DE C.V.",15OCT2015,2015,10,C611,ULTRAVISION,C611,ULTRAVISION,"1,450",3,"1,439",8,0
100405,"ULTRAVISION, S.A. DE C.V.",15NOV2015,2015,11,C611,ULTRAVISION,C611,ULTRAVISION,"1,444",3,"1,429",12,0
100405,"ULTRAVISION, S.A. DE C.V.",15DEC2015,2015,12,C611,ULTRAVISION,C611,ULTRAVISION,"1,369",3,"1,355",11,0
100405,"ULTRAVISION, S.A. DE C.V.",15JAN2016,2016,01,C611,ULTRAVISION,C611,ULTRAVISION,"1,440",3,"1,426",11,0
100405,"ULTRAVISION, S.A. DE C.V.",15FEB2016,2016,02,C611,ULTRAVISION,C611,ULTRAVISION,"1,530",3,"1,516",11,0
100405,"ULTRAVISION, S.A. DE C.V.",15MAR2016,2016,03,C611,ULTRAVISION,C611,ULTRAVISION,"1,551",3,"1,537",11,0
100405,"ULTRAVISION, S.A. DE C.V.",15APR2016,2016,04,C611,ULTRAVISION,C611,ULTRAVISION,"1,584",3,"1,570",11,0
100405,"ULTRAVISION, S.A. DE C.V.",15MAY2016,2016,05,C611,ULTRAVISION,C611,ULTRAVISION,"1,610",3,"1,595",12,0
100405,"ULTRAVISION, S.A. DE C.V.",15JUN2016,2016,06,C611,ULTRAVISION,C611,ULTRAVISION,"1,664",3,"1,647",14,0
100405,"ULTRAVISION, S.A. DE C.V.",15JUL2016,2016,07,C611,ULTRAVISION,C611,ULTRAVISION,"1,714",0,"1,693",20,1
100405,"ULTRAVISION, S.A. DE C.V.",15AUG2016,2016,08,C611,ULTRAVISION,C611,ULTRAVISION,"1,736",0,"1,714",21,1
100405,"ULTRAVISION, S.A. DE C.V.",15SEP2016,2016,09,C611,ULTRAVISION,C611,ULTRAVISION,"1,713",0,"1,692",20,1
100405,"ULTRAVISION, S.A. DE C.V.",15OCT2016,2016,10,C611,ULTRAVISION,C611,ULTRAVISION,"1,687",0,"1,674",12,1
100405,"ULTRAVISION, S.A. DE C.V.",15NOV2016,2016,11,C611,ULTRAVISION,C611,ULTRAVISION,"1,696",0,"1,683",12,1
100405,"ULTRAVISION, S.A. DE C.V.",15DEC2016,2016,12,C611,ULTRAVISION,C611,ULTRAVISION,"1,646",0,"1,633",12,1
