FOLIO,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,K_ENTIDAD,ENTIDAD,FECHA,ANIO,MES,K_ACCESO_INTERNET,TECNO_ACCESO_INTERNET,A_TOTAL_E,A_RESIDENCIAL_E,A_NO_RESIDENCIAL_E
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15JAN2013,2013,01,05,Terrestre fijo inalámbrico,710,620,90
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15FEB2013,2013,02,05,Terrestre fijo inalámbrico,718,625,93
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15MAR2013,2013,03,05,Terrestre fijo inalámbrico,725,628,97
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15APR2013,2013,04,05,Terrestre fijo inalámbrico,717,622,95
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15MAY2013,2013,05,05,Terrestre fijo inalámbrico,729,628,101
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15JUN2013,2013,06,05,Terrestre fijo inalámbrico,725,620,105
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15JUL2013,2013,07,05,Terrestre fijo inalámbrico,738,627,111
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15AUG2013,2013,08,05,Terrestre fijo inalámbrico,744,635,109
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15SEP2013,2013,09,05,Terrestre fijo inalámbrico,745,639,106
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15OCT2013,2013,10,05,Terrestre fijo inalámbrico,750,642,108
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15NOV2013,2013,11,05,Terrestre fijo inalámbrico,771,659,112
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15DEC2013,2013,12,05,Terrestre fijo inalámbrico,788,672,116
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15JAN2014,2014,01,05,Terrestre fijo inalámbrico,801,687,114
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15FEB2014,2014,02,05,Terrestre fijo inalámbrico,815,703,112
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15MAR2014,2014,03,05,Terrestre fijo inalámbrico,829,718,111
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15APR2014,2014,04,05,Terrestre fijo inalámbrico,845,738,107
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15MAY2014,2014,05,05,Terrestre fijo inalámbrico,863,752,111
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15JUN2014,2014,06,05,Terrestre fijo inalámbrico,868,758,110
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15JUL2014,2014,07,05,Terrestre fijo inalámbrico,879,762,117
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15AUG2014,2014,08,05,Terrestre fijo inalámbrico,899,775,124
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15SEP2014,2014,09,05,Terrestre fijo inalámbrico,903,782,121
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15OCT2014,2014,10,05,Terrestre fijo inalámbrico,918,800,118
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15NOV2014,2014,11,05,Terrestre fijo inalámbrico,940,815,125
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15DEC2014,2014,12,05,Terrestre fijo inalámbrico,974,835,139
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15JAN2015,2015,01,05,Terrestre fijo inalámbrico,"1,061",907,154
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15FEB2015,2015,02,05,Terrestre fijo inalámbrico,"1,069",915,154
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15MAR2015,2015,03,05,Terrestre fijo inalámbrico,"1,135",971,164
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15APR2015,2015,04,05,Terrestre fijo inalámbrico,"1,230","1,159",71
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15MAY2015,2015,05,05,Terrestre fijo inalámbrico,"1,271","1,188",83
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15JUN2015,2015,06,05,Terrestre fijo inalámbrico,"1,290","1,211",79
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15JUL2015,2015,07,05,Terrestre fijo inalámbrico,"1,291","1,211",80
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15AUG2015,2015,08,05,Terrestre fijo inalámbrico,"1,365","1,276",89
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15SEP2015,2015,09,05,Terrestre fijo inalámbrico,"1,392","1,303",89
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15OCT2015,2015,10,05,Terrestre fijo inalámbrico,"1,450","1,394",56
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15NOV2015,2015,11,05,Terrestre fijo inalámbrico,"1,444","1,382",62
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15DEC2015,2015,12,05,Terrestre fijo inalámbrico,"1,369","1,319",50
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15JAN2016,2016,01,05,Terrestre fijo inalámbrico,"1,440","1,388",52
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15FEB2016,2016,02,05,Terrestre fijo inalámbrico,"1,530","1,478",52
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15MAR2016,2016,03,05,Terrestre fijo inalámbrico,"1,551","1,496",55
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15APR2016,2016,04,05,Terrestre fijo inalámbrico,"1,584","1,527",57
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15MAY2016,2016,05,05,Terrestre fijo inalámbrico,"1,610","1,554",56
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15JUN2016,2016,06,05,Terrestre fijo inalámbrico,"1,664","1,606",58
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15JUL2016,2016,07,05,Terrestre fijo inalámbrico,"1,714","1,614",100
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15AUG2016,2016,08,05,Terrestre fijo inalámbrico,"1,736","1,634",102
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15SEP2016,2016,09,05,Terrestre fijo inalámbrico,"1,713","1,610",103
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15OCT2016,2016,10,05,Terrestre fijo inalámbrico,"1,687","1,595",92
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15NOV2016,2016,11,05,Terrestre fijo inalámbrico,"1,696","1,604",92
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,21,Puebla,15DEC2016,2016,12,05,Terrestre fijo inalámbrico,"1,646","1,554",92
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15JAN2017,2017,01,99,Sin Tecnología especificada,"2,011","1,895",116
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15FEB2017,2017,02,99,Sin Tecnología especificada,"2,055","1,932",123
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15MAR2017,2017,03,99,Sin Tecnología especificada,"2,080","1,952",128
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15APR2017,2017,04,99,Sin Tecnología especificada,"2,130","1,994",136
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15MAY2017,2017,05,99,Sin Tecnología especificada,"2,109","1,970",139
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15JUN2017,2017,06,99,Sin Tecnología especificada,"2,101","1,957",144
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15JUL2017,2017,07,99,Sin Tecnología especificada,"2,043","1,898",145
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15AUG2017,2017,08,99,Sin Tecnología especificada,"2,148","1,989",159
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15SEP2017,2017,09,99,Sin Tecnología especificada,"2,151","1,985",166
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15OCT2017,2017,10,99,Sin Tecnología especificada,"2,168","1,993",175
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15NOV2017,2017,11,99,Sin Tecnología especificada,"2,150","1,968",182
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15DEC2017,2017,12,99,Sin Tecnología especificada,"2,084","1,899",185
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15JAN2018,2018,01,99,Sin Tecnología especificada,"2,168","1,828",340
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15FEB2018,2018,02,99,Sin Tecnología especificada,"2,220","1,756",464
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15MAR2018,2018,03,99,Sin Tecnología especificada,"2,287","1,692",595
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15APR2018,2018,04,99,Sin Tecnología especificada,"2,334","1,727",607
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15MAY2018,2018,05,99,Sin Tecnología especificada,"2,178","1,611",567
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15JUN2018,2018,06,99,Sin Tecnología especificada,"2,034","1,505",529
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15JUL2018,2018,07,99,Sin Tecnología especificada,"1,797","1,330",467
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15AUG2018,2018,08,99,Sin Tecnología especificada,"1,524","1,128",396
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15SEP2018,2018,09,99,Sin Tecnología especificada,"1,569","1,161",408
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15OCT2018,2018,10,99,Sin Tecnología especificada,"1,385","1,025",360
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15NOV2018,2018,11,99,Sin Tecnología especificada,"1,902","1,407",495
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15DEC2018,2018,12,99,Sin Tecnología especificada,"2,424","1,794",630
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15JAN2019,2019,01,99,Sin Tecnología especificada,"2,806","2,077",729
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15FEB2019,2019,02,99,Sin Tecnología especificada,"2,899","2,146",753
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15MAR2019,2019,03,99,Sin Tecnología especificada,"4,415","3,268","1,147"
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15APR2019,2019,04,99,Sin tecnología especificada,"3,383","2,504",879
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15MAY2019,2019,05,99,Sin tecnología especificada,"3,573","2,644",929
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,99,Sin información de Entidad,15JUN2019,2019,06,99,Sin tecnología especificada,"3,567","2,640",927
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,01,Aguascalientes,15JUL2015,2015,07,03,Fibra Óptica,93,,93
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,01,Aguascalientes,15AUG2015,2015,08,03,Fibra Óptica,103,,103
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,01,Aguascalientes,15SEP2015,2015,09,03,Fibra Óptica,93,,93
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,01,Aguascalientes,15OCT2015,2015,10,03,Fibra Óptica,94,,94
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,01,Aguascalientes,15NOV2015,2015,11,03,Fibra Óptica,96,,96
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,01,Aguascalientes,15DEC2015,2015,12,03,Fibra Óptica,98,,98
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15JAN2016,2016,01,03,Fibra Óptica,100,,100
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15FEB2016,2016,02,03,Fibra Óptica,101,,101
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15MAR2016,2016,03,03,Fibra Óptica,103,,103
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15APR2016,2016,04,03,Fibra Óptica,104,,104
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15MAY2016,2016,05,03,Fibra Óptica,106,,106
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15JUN2016,2016,06,03,Fibra Óptica,108,,108
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15JUL2016,2016,07,03,Fibra Óptica,116,,116
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15AUG2016,2016,08,03,Fibra Óptica,117,,117
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15SEP2016,2016,09,03,Fibra Óptica,119,,119
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15OCT2016,2016,10,03,Fibra Óptica,121,,121
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15NOV2016,2016,11,03,Fibra Óptica,122,,122
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15DEC2016,2016,12,03,Fibra Óptica,124,,124
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,02,Baja California,15JUL2015,2015,07,03,Fibra Óptica,100,,100
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,02,Baja California,15AUG2015,2015,08,03,Fibra Óptica,105,,105
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,02,Baja California,15SEP2015,2015,09,03,Fibra Óptica,130,,130
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,02,Baja California,15OCT2015,2015,10,03,Fibra Óptica,136,,136
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,02,Baja California,15NOV2015,2015,11,03,Fibra Óptica,142,,142
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,02,Baja California,15DEC2015,2015,12,03,Fibra Óptica,148,,148
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15JAN2016,2016,01,03,Fibra Óptica,154,,154
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15FEB2016,2016,02,03,Fibra Óptica,161,,161
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15MAR2016,2016,03,03,Fibra Óptica,167,,167
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15APR2016,2016,04,03,Fibra Óptica,173,,173
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15MAY2016,2016,05,03,Fibra Óptica,179,,179
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15JUN2016,2016,06,03,Fibra Óptica,185,,185
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15JUL2016,2016,07,03,Fibra Óptica,201,,201
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15AUG2016,2016,08,03,Fibra Óptica,203,,203
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15SEP2016,2016,09,03,Fibra Óptica,207,,207
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15OCT2016,2016,10,03,Fibra Óptica,211,,211
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15NOV2016,2016,11,03,Fibra Óptica,214,,214
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15DEC2016,2016,12,03,Fibra Óptica,218,,218
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,03,Baja California Sur,15JUL2015,2015,07,03,Fibra Óptica,1,,1
