ANIO,MES,FECHA,K_GRUPO,GRUPO,MARKET_SHARE
2013,01,15JAN2013,C584,TOTALPLAY,0.010%
2013,01,15JAN2013,C087,CABLECOM,1.384%
2013,01,15JAN2013,C611,ULTRAVISION,0.006%
2013,01,15JAN2013,C373,MAXCOM,1.176%
2013,01,15JAN2013,G001,AXTEL,4.155%
2013,01,15JAN2013,C054,AXESAT,0.047%
2013,01,15JAN2013,C010,AIRECABLE,0.006%
2013,01,15JAN2013,C639,CABLEVISION RED,0.795%
2013,01,15JAN2013,C599,TV REY,0.030%
2013,01,15JAN2013,C020,ALESTRA,0.046%
2013,01,15JAN2013,G008,MEGACABLE-MCM,6.694%
2013,01,15JAN2013,G004,GRUPO TELEVISA,11.603%
2013,01,15JAN2013,G006,AMÉRICA MÓVIL,74.049%
2013,02,15FEB2013,C010,AIRECABLE,0.006%
2013,02,15FEB2013,C584,TOTALPLAY,0.064%
2013,02,15FEB2013,G006,AMÉRICA MÓVIL,73.924%
2013,02,15FEB2013,C639,CABLEVISION RED,0.802%
2013,02,15FEB2013,C599,TV REY,0.031%
2013,02,15FEB2013,C020,ALESTRA,0.045%
2013,02,15FEB2013,G008,MEGACABLE-MCM,6.708%
2013,02,15FEB2013,G004,GRUPO TELEVISA,11.709%
2013,02,15FEB2013,C054,AXESAT,0.044%
2013,02,15FEB2013,G001,AXTEL,4.081%
2013,02,15FEB2013,C373,MAXCOM,1.187%
2013,02,15FEB2013,C087,CABLECOM,1.393%
2013,02,15FEB2013,C611,ULTRAVISION,0.006%
2013,03,15MAR2013,C611,ULTRAVISION,0.006%
2013,03,15MAR2013,G006,AMÉRICA MÓVIL,73.777%
2013,03,15MAR2013,C054,AXESAT,0.044%
2013,03,15MAR2013,G008,MEGACABLE-MCM,6.703%
2013,03,15MAR2013,C599,TV REY,0.031%
2013,03,15MAR2013,C020,ALESTRA,0.044%
2013,03,15MAR2013,C087,CABLECOM,1.403%
2013,03,15MAR2013,G001,AXTEL,4.027%
2013,03,15MAR2013,C010,AIRECABLE,0.006%
2013,03,15MAR2013,C584,TOTALPLAY,0.112%
2013,03,15MAR2013,C639,CABLEVISION RED,0.804%
2013,03,15MAR2013,G004,GRUPO TELEVISA,11.853%
2013,03,15MAR2013,C373,MAXCOM,1.190%
2013,04,15APR2013,G001,AXTEL,4.001%
2013,04,15APR2013,C054,AXESAT,0.044%
2013,04,15APR2013,C373,MAXCOM,1.195%
2013,04,15APR2013,C010,AIRECABLE,0.006%
2013,04,15APR2013,G008,MEGACABLE-MCM,6.612%
2013,04,15APR2013,C639,CABLEVISION RED,0.808%
2013,04,15APR2013,G006,AMÉRICA MÓVIL,73.666%
2013,04,15APR2013,C087,CABLECOM,1.438%
2013,04,15APR2013,C020,ALESTRA,0.042%
2013,04,15APR2013,C599,TV REY,0.032%
2013,04,15APR2013,C584,TOTALPLAY,0.164%
2013,04,15APR2013,C611,ULTRAVISION,0.006%
2013,04,15APR2013,G004,GRUPO TELEVISA,11.987%
2013,05,15MAY2013,C639,CABLEVISION RED,0.807%
2013,05,15MAY2013,C010,AIRECABLE,0.006%
2013,05,15MAY2013,G001,AXTEL,3.986%
2013,05,15MAY2013,C373,MAXCOM,1.198%
2013,05,15MAY2013,C584,TOTALPLAY,0.215%
2013,05,15MAY2013,C054,AXESAT,0.044%
2013,05,15MAY2013,G004,GRUPO TELEVISA,12.123%
2013,05,15MAY2013,G006,AMÉRICA MÓVIL,73.565%
2013,05,15MAY2013,C020,ALESTRA,0.041%
2013,05,15MAY2013,C087,CABLECOM,1.474%
2013,05,15MAY2013,C599,TV REY,0.033%
2013,05,15MAY2013,C611,ULTRAVISION,0.006%
2013,05,15MAY2013,G008,MEGACABLE-MCM,6.502%
2013,06,15JUN2013,G004,GRUPO TELEVISA,12.277%
2013,06,15JUN2013,C373,MAXCOM,1.199%
2013,06,15JUN2013,C639,CABLEVISION RED,0.804%
2013,06,15JUN2013,C020,ALESTRA,0.041%
2013,06,15JUN2013,C611,ULTRAVISION,0.006%
2013,06,15JUN2013,G008,MEGACABLE-MCM,6.488%
2013,06,15JUN2013,C054,AXESAT,0.044%
2013,06,15JUN2013,G001,AXTEL,3.973%
2013,06,15JUN2013,C010,AIRECABLE,0.006%
2013,06,15JUN2013,C584,TOTALPLAY,0.266%
2013,06,15JUN2013,C087,CABLECOM,1.508%
2013,06,15JUN2013,C599,TV REY,0.033%
2013,06,15JUN2013,G006,AMÉRICA MÓVIL,73.355%
2013,07,15JUL2013,C373,MAXCOM,1.212%
2013,07,15JUL2013,C020,ALESTRA,0.040%
2013,07,15JUL2013,G001,AXTEL,3.971%
2013,07,15JUL2013,C087,CABLECOM,1.539%
2013,07,15JUL2013,G008,MEGACABLE-MCM,6.467%
2013,07,15JUL2013,C599,TV REY,0.035%
2013,07,15JUL2013,C054,AXESAT,0.043%
2013,07,15JUL2013,G006,AMÉRICA MÓVIL,73.139%
2013,07,15JUL2013,G004,GRUPO TELEVISA,12.431%
2013,07,15JUL2013,C639,CABLEVISION RED,0.797%
2013,07,15JUL2013,C611,ULTRAVISION,0.006%
2013,07,15JUL2013,C584,TOTALPLAY,0.315%
2013,07,15JUL2013,C010,AIRECABLE,0.006%
2013,08,15AUG2013,C599,TV REY,0.037%
2013,08,15AUG2013,G006,AMÉRICA MÓVIL,72.706%
2013,08,15AUG2013,C054,AXESAT,0.043%
2013,08,15AUG2013,C087,CABLECOM,1.565%
2013,08,15AUG2013,C584,TOTALPLAY,0.363%
2013,08,15AUG2013,C373,MAXCOM,1.239%
2013,08,15AUG2013,G004,GRUPO TELEVISA,12.652%
2013,08,15AUG2013,C020,ALESTRA,0.039%
2013,08,15AUG2013,C639,CABLEVISION RED,0.818%
2013,08,15AUG2013,C010,AIRECABLE,0.006%
2013,08,15AUG2013,G008,MEGACABLE-MCM,6.544%
