ANIO,MES,FECHA,P_BAF_E
2013,1,15/01/2013,37
2013,2,15/02/2013,38
2013,3,15/03/2013,38
2013,4,15/04/2013,38
2013,5,15/05/2013,38
2013,6,15/06/2013,38
2013,7,15/07/2013,38
2013,8,15/08/2013,39
2013,9,15/09/2013,39
2013,10,15/10/2013,39
2013,11,15/11/2013,40
2013,12,15/12/2013,40
2014,1,15/01/2014,40
2014,2,15/02/2014,40
2014,3,15/03/2014,40
2014,4,15/04/2014,41
2014,5,15/05/2014,41
2014,6,15/06/2014,41
2014,7,15/07/2014,41
2014,8,15/08/2014,42
2014,9,15/09/2014,42
2014,10,15/10/2014,42
2014,11,15/11/2014,42
2014,12,15/12/2014,40
2015,1,15/01/2015,41
2015,2,15/02/2015,41
2015,3,15/03/2015,41
2015,4,15/04/2015,42
2015,5,15/05/2015,42
2015,6,15/06/2015,42
2015,7,15/07/2015,43
2015,8,15/08/2015,43
2015,9,15/09/2015,44
2015,10,15/10/2015,44
2015,11,15/11/2015,44
2015,12,15/12/2015,45
2016,1,15/01/2016,45
2016,2,15/02/2016,45
2016,3,15/03/2016,45
2016,4,15/04/2016,46
2016,5,15/05/2016,46
2016,6,15/06/2016,46
2016,7,15/07/2016,46
2016,8,15/08/2016,47
2016,9,15/09/2016,47
2016,10,15/10/2016,47
2016,11,15/11/2016,47
2016,12,15/12/2016,48
2017,1,15/01/2017,48
2017,2,15/02/2017,48
2017,3,15/03/2017,48
2017,4,15/04/2017,48
2017,5,15/05/2017,49
2017,6,15/06/2017,49
2017,7,15/07/2017,49
2017,8,15/08/2017,50
2017,9,15/09/2017,50
2017,10,15/10/2017,50
2017,11,15/11/2017,50
2017,12,15/12/2017,50
2018,1,15/01/2018,51
2018,2,15/02/2018,51
2018,3,15/03/2018,52
2018,4,15/04/2018,52
2018,5,15/05/2018,52
2018,6,15/06/2018,52
2018,7,15/07/2018,52
2018,8,15/08/2018,52
2018,9,15/09/2018,52
2018,10,15/10/2018,53
2018,11,15/11/2018,53
2018,12,15/12/2018,53
2019,1,15/01/2019,53
2019,2,15/02/2019,54
2019,3,15/03/2019,54
2019,4,15/04/2019,54
2019,5,15/05/2019,54
2019,6,15/06/2019,54
