ANIO,MES,FECHA,FOLIO,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,S_RESIDENCIAL_E,S_NO_RESIDENCIAL_E,S_TOTAL_E
2013,01,15JAN2013,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,620,90,710
2013,02,15FEB2013,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,625,93,718
2013,03,15MAR2013,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,628,97,725
2013,04,15APR2013,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,622,95,717
2013,05,15MAY2013,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,628,101,729
2013,06,15JUN2013,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,620,105,725
2013,07,15JUL2013,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,627,111,738
2013,08,15AUG2013,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,635,109,744
2013,09,15SEP2013,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,639,106,745
2013,10,15OCT2013,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,642,108,750
2013,11,15NOV2013,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,659,112,771
2013,12,15DEC2013,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,672,116,788
2014,01,15JAN2014,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,687,114,801
2014,02,15FEB2014,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,703,112,815
2014,03,15MAR2014,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,718,111,829
