K_ENTIDAD_MUNICIPIO,K_ENTIDAD,K_MUNICIPIO,ANIO,MES,CABLE_COAXIAL,DSL,FIBRA_OPTICA,SATELITAL,TERRESTRE_FIJO_INALAMBRICO,OTRAS_TECNOLOGIAS,SIN_TECNOLOGIA_ESPECIFICADA,ALL_ACCESS,COAX_FO,NUM_OPS
01001,01,001,2019,06,58308,66830,54299,0,0,0,0,179437,112607,3
01002,01,002,2019,06,0,1075,1,0,0,0,0,1076,1,2
01003,01,003,2019,06,0,4373,1,0,0,0,0,4374,1,2
01004,01,004,2019,06,0,491,0,0,0,0,0,491,0,1
01005,01,005,2019,06,0,5914,259,0,0,0,0,6173,259,2
01006,01,006,2019,06,0,2640,0,0,0,0,0,2640,0,1
01007,01,007,2019,06,0,2586,2,0,0,0,0,2588,2,2
01008,01,008,2019,06,0,509,0,0,0,0,0,509,0,1
01009,01,009,2019,06,0,361,0,0,0,0,0,361,0,1
01010,01,010,2019,06,0,298,0,0,0,0,0,298,0,1
01011,01,011,2019,06,0,1730,139,0,0,0,0,1869,139,2
02001,02,001,2019,06,50324,45906,12651,0,0,0,0,108881,62975,3
02002,02,002,2019,06,109717,105591,18103,0,0,0,0,233411,127820,4
02003,02,003,2019,06,12037,8020,2710,0,0,0,0,22767,14747,3
02004,02,004,2019,06,198445,121273,132746,0,0,0,0,452464,331191,3
02005,02,005,2019,06,17122,9421,1481,0,0,0,0,28024,18603,3
03001,03,001,2019,06,3536,6744,61,0,0,0,0,10341,3597,2
03002,03,002,2019,06,0,7654,310,0,0,0,0,7964,310,1
03003,03,003,2019,06,19169,23787,23731,0,0,0,0,66687,42900,3
03008,03,008,2019,06,21673,23737,30199,0,0,0,0,75609,51872,3
03009,03,009,2019,06,0,3070,0,0,0,0,0,3070,0,1
04001,04,001,2019,06,0,1894,21,0,0,0,0,1915,21,1
04002,04,002,2019,06,0,18488,1263,0,0,0,0,19751,1263,2
04003,04,003,2019,06,15418,18632,5770,0,0,0,0,39820,21188,3
