K_ENTIDAD_MUNICIPIO,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,GM
01001,2.06,9.54,0.31,0.16,0.72,18.01,0.63,8.73,31.13,-1.676,Muy bajo
01005,3.26,13.73,0.44,0.37,0.73,27.02,1.03,45.17,33.77,-1.256,Muy bajo
01003,4.8,24.18,0.55,0.41,0.86,30.53,0.93,50.76,61.95,-0.698,Bajo
01007,3.53,14.75,1.97,0.52,1.52,31.61,0.91,43.06,43.44,-1.045,Bajo
01006,3.41,14.9,1,0.42,0.9,32.24,0.62,31.6,41.48,-1.129,Muy bajo
01002,4.47,20.89,3.84,1.04,1.17,30.64,1.69,100,52.76,-0.565,Bajo
01011,2.94,13.77,0.13,0.41,0.76,31.28,0.46,54.92,35.49,-1.156,Muy bajo
01009,4.23,22.13,1.85,0.63,0.94,33.64,1,100,49.39,-0.595,Bajo
01010,4.92,21.05,4.89,1.97,2.35,32.57,1.65,71.33,48.8,-0.614,Bajo
01004,4.35,16.55,1.24,0.57,0.47,34.62,1.42,100,49.79,-0.674,Bajo
01008,3.2,14.87,3.51,1.32,1.23,34.06,0.44,100,44.93,-0.735,Bajo
02004,1.69,9.68,0.27,0.21,1.72,22.85,1.37,3.23,20.47,-1.708,Muy bajo
02002,1.55,9.36,0.16,0.56,1.2,23.67,0.69,12.86,23.09,-1.648,Muy bajo
02001,3.58,14.67,0.4,0.99,8.1,22.57,1.28,22.82,29.63,-1.323,Muy bajo
02003,2.32,12.77,0.36,1.48,6.75,21.92,1.17,29.39,25.36,-1.408,Muy bajo
02005,2.31,11.56,0.23,0.42,7.79,23.02,1.48,21.49,25.72,-1.463,Muy bajo
03008,1.96,10.66,0.18,0.58,12.33,33.42,7.03,9.62,17.32,-1.296,Muy bajo
03003,1.86,8.43,0.39,1.15,3.72,19.49,1.69,12.52,22.24,-1.658,Muy bajo
03001,5.06,20.08,0.86,2.37,3.81,25.07,3.12,22.03,40.1,-1.017,Bajo
03002,5.06,20.77,0.57,1.69,2.37,27.42,2.22,46.34,28.16,-1.051,Bajo
03009,2.49,11.38,1.11,3.04,6,23.46,3.65,12.03,27.46,-1.345,Muy bajo
04002,3.98,11.98,1.08,0.4,0.83,31.94,0.97,9.71,38.21,-1.281,Muy bajo
04003,4.08,14.07,0.9,1.16,11.23,33.44,2.12,17.25,22.42,-1.186,Muy bajo
04004,10.04,26.32,6.19,1.66,4.11,44.77,3.65,52.31,56.78,-0.159,Medio
04009,9.55,26.37,3.51,2.17,2.4,45.45,5.12,45.6,58.84,-0.174,Medio
04001,11.1,23.25,14.41,0.84,4.29,44.56,2.54,26.28,54.47,-0.248,Medio
04011,12.8,30.29,7.61,9.04,17.15,48.2,13.47,76.18,60.34,0.769,Alto
04006,10.12,35.91,14.46,2.46,2.15,48.25,2.45,80.69,66.58,0.361,Alto
04005,9.67,25.12,9.56,2.5,2.47,45.76,1.02,32.95,51.36,-0.291,Medio
04010,15.29,29.49,4.29,3.6,32.35,53.28,11.15,100,44.78,0.706,Alto
04008,10.92,23.47,19.55,1.23,1.85,45.32,1.05,22.52,63.63,-0.133,Medio
04007,9.87,24.68,2.12,1.95,23.4,42.89,3.88,100,59.81,0.164,Alto
05030,1.54,7.13,0.28,0.24,1.87,21.63,0.48,2.13,17.01,-1.823,Muy bajo
05035,1.49,7.91,0.23,0.09,0.65,18.46,0.69,4.81,31.8,-1.722,Muy bajo
05018,1.34,6.85,0.3,0.17,1.16,22.14,0.31,0.43,17.88,-1.836,Muy bajo
05025,1.5,8.63,0.36,0.17,0.82,30.33,0.93,1.72,31.7,-1.531,Muy bajo
05002,1.76,10.86,0.14,0.83,0.89,30.1,0.7,1.84,44.27,-1.353,Muy bajo
05017,3.16,15.05,1.95,0.2,1.4,29.51,1.24,42.25,42.72,-1.098,Muy bajo
05033,4.66,18.46,2.18,0.4,5.38,29.44,0.75,44.86,56.32,-0.823,Bajo
05027,2.01,8.25,0.44,0.43,1.48,23.3,0.5,11.8,16.54,-1.73,Muy bajo
05010,1.46,7.92,0.34,0.08,1.39,29.52,0.29,7.65,19.27,-1.663,Muy bajo
05020,2.8,13.85,0.52,0.93,1.67,29.89,0.67,10.42,33.15,-1.34,Muy bajo
05028,1.94,9.89,0.32,0.24,1.08,21.89,0.47,9.77,23.73,-1.678,Muy bajo
05009,3.77,16.74,2.1,0.18,2.32,27.61,0.91,52.17,44.71,-1.021,Bajo
05024,4.21,13.73,4.87,0.57,6.83,26.81,1.49,25.51,54.54,-0.972,Bajo
05032,1.64,9.76,0.63,0.37,0.96,22.89,0.74,8.38,29.36,-1.61,Muy bajo
05022,2.38,12.56,0.95,0.49,1.67,27.13,1.19,20.54,30.23,-1.401,Muy bajo
05006,1.86,10.73,0.34,0.41,4.03,31.02,0.45,8.66,24.76,-1.484,Muy bajo
05031,1.82,8.34,0.38,0.1,1.32,20.6,0.12,7.53,21.91,-1.76,Muy bajo
05004,5.31,20.55,0.7,0.38,3.47,31.39,1.93,62.54,40.11,-0.849,Bajo
05003,2.05,11.03,0.39,0.04,0.17,24.59,0.18,8.74,28.02,-1.6,Muy bajo
05036,5.42,23.26,4.56,0.52,7.44,31.94,1.79,100,57.4,-0.38,Medio
05007,4.15,17.05,1.46,1.85,5.35,32.36,1.8,20.78,41.16,-0.992,Bajo
05038,2.75,17.74,0.48,0.56,1.34,25.92,0.59,17.64,40.06,-1.261,Muy bajo
05011,6.56,21.11,4.56,1.3,1.45,31.8,1.05,100,38.4,-0.624,Bajo
05023,4.4,18.88,2.25,1.5,6.66,29.11,1.76,100,33.26,-0.757,Bajo
05014,3.81,23.77,1.92,3.32,7.67,27.21,1.25,100,54.8,-0.448,Medio
05019,2.55,11.86,1.16,0.05,0.98,27.6,0.31,16.66,33.02,-1.427,Muy bajo
05034,3.37,12.01,1.27,0.59,3.21,35.11,1.19,100,21.19,-1.014,Bajo
05021,3.3,12.1,0.46,0.56,1.03,26.73,0.18,100,30.49,-1.106,Muy bajo
05037,2.92,15.84,1.2,0.43,0.52,29.4,0.46,14.92,46.93,-1.186,Muy bajo
