K_ENTIDAD_MUNICIPIO,HOGARES
01001,230559
01002,10787
01003,14182
01004,3519
01010,4882
01005,28911
01006,10769
01007,12223
01011,11705
01008,2104
01009,4948
02001,143169
02002,291763
02005,27823
02003,29767
02004,475341
03001,21436
03003,83027
03009,5975
03008,81089
03002,18307
04010,7000
04001,14209
04002,79159
04011,11592
04003,70615
04004,24189
04009,15534
04005,7651
04006,9307
04007,2461
04008,2754
05001,345
05002,40869
05003,6421
05004,6414
05005,520
05006,7810
05007,3906
05008,878
05009,15224
05010,21705
05011,3439
05012,511
05013,429
05014,2887
05015,456
05016,538
05017,27215
05018,65951
05019,2453
05020,19303
05021,1937
05022,8409
05023,3152
05024,12332
05025,45067
05026,972
05027,25665
05028,18647
05029,683
05030,213329
05031,7108
05032,13001
05033,26729
05034,1887
05035,191913
05036,5417
05037,1848
05038,3905
06001,8144
06002,45769
06003,5899
06004,5674
06005,8486
06006,1610
06007,52759
06008,2497
06009,32183
06010,42222
07001,4173
07002,8013
07003,7483
07113,1296
07004,6899
07005,4796
07006,7149
07007,2149
07008,6183
07009,11380
07010,1489
07011,4250
07114,4430
07012,12249
07013,7557
07015,10880
07016,4648
07022,3662
07023,19158
07024,2001
07025,1809
07026,7286
07027,26258
07028,1538
07029,1311
07030,8187
07031,23533
07017,20737
07018,2237
07019,39192
07021,5682
07014,4362
07070,2623
07032,7666
07033,1533
07034,17689
07035,3541
07037,8987
07039,5224
07038,4705
07040,13966
07042,2664
07043,2550
07044,5770
07045,1287
07046,10508
07047,4363
07048,5567
07020,10996
07036,1361
07041,10417
07050,1444
07099,18474
07049,4508
07052,25246
07075,6801
07051,12449
07115,2505
07116,2392
07053,1604
07054,7845
07055,1503
07056,2282
07117,1582
07057,15178
07058,909
07059,42341
07060,2584
07061,21717
07062,4404
07063,917
07064,9133
07065,28601
07066,4049
07067,2786
07068,8162
07069,14548
07072,6730
07073,2101
07074,12049
07076,5823
07077,13535
07118,1092
07078,51377
07079,9611
07112,6538
07110,1791
07119,702
07080,6928
07081,8522
07082,2798
07083,4963
07084,1857
07085,2439
07086,5632
07087,9891
07088,548
07089,92528
07090,995
07091,3319
07092,10325
07093,7832
07094,9236
07096,15960
07097,23721
07098,1647
07100,6827
07102,10319
07101,160210
07103,7568
07104,4259
07105,3693
07106,16385
07071,7248
07107,20020
07108,28017
07109,8558
07111,8055
08001,3640
08002,7235
08003,2746
08004,4411
08005,6856
08006,2132
08007,4139
08008,2585
08009,8401
08010,6489
08011,15144
08012,2611
08013,3474
08019,264414
08020,1929
08014,681
08015,582
08017,50037
08018,1500
08021,44907
08022,915
08064,514
08023,1568
08025,2954
08026,860
08027,11502
08028,1592
08029,12811
08030,2051
08031,12217
08032,30589
08033,306
08034,2299
08035,3156
08036,12074
08037,394254
08038,1399
08016,1137
08039,1219
08040,8878
08041,479
08042,487
08043,965
08044,1310
08045,13132
08046,1888
08047,1481
08048,7604
08049,760
08050,19317
08051,2128
08052,8652
08053,1702
08054,2107
08055,5063
08056,614
08057,741
08058,796
08059,1536
08060,3084
08024,1265
08061,1105
08062,8955
08063,2081
08065,6721
08066,1737
08067,1740
09010,214895
09002,119027
09014,159700
09003,186317
09004,55478
09015,188135
09005,324587
09006,110174
09007,495665
09008,66676
09016,128042
09009,34086
09011,94678
09012,190591
09017,126002
09013,107270
10001,8876
10002,1153
10003,1088
10004,9255
10005,171351
10018,3600
10006,2480
10007,91610
10008,9281
10009,2783
10010,1115
10011,1458
10012,39843
10013,6407
10014,7379
10015,3425
10016,5224
10039,6976
10017,3078
10019,1169
10020,3314
10021,2844
10022,6444
10023,11586
10024,3566
10025,1099
10026,4824
10027,1435
10028,3168
10029,558
10030,411
10031,1888
10032,12845
10033,1664
10034,5610
10035,3160
10036,6041
10037,2177
10038,5804
11001,20910
11002,30035
11004,16472
11005,21960
11006,1363
11007,129705
11009,18436
11010,3289
11011,23806
11012,7139
11013,5570
11014,34636
11015,46198
11016,5241
11017,137934
11018,9734
11019,13197
11020,386977
11008,10037
11021,13988
11022,5626
11023,37595
11024,3045
11025,18523
11026,13898
11027,71745
11028,27317
11029,9392
11030,25894
11031,29218
11032,19146
11033,27170
11003,42695
11034,1340
11035,18472
11036,2006
11037,42202
11038,3330
11039,9470
11040,4580
11041,16303
11042,36583
11043,4792
11044,14404
11045,2960
11046,18702
12001,220033
12076,7906
12002,5945
12003,8720
12004,3716
12005,1620
12006,2893
12007,8158
12008,2340
12009,1202
12010,6326
12011,16841
12012,15122
12013,3898
12014,4786
12015,3878
12028,29461
12029,66406
12016,3287
12078,3432
12017,3706
12018,3873
12019,3224
12020,4347
12021,20473
12022,10225
12023,6914
12024,1920
12025,3903
12026,2377
12027,5831
12075,11866
12030,5075
12031,1498
12032,7916
12033,3848
12034,10485
12035,40460
12036,2748
12081,2497
12037,1610
12079,3685
12039,6551
12080,1948
12068,7173
12040,6057
12041,5617
12077,3623
12042,4618
12043,3789
12044,3257
12045,5554
12046,16628
12047,1629
12048,12052
12049,3579
12050,9609
12051,7924
12052,9598
12053,12568
12054,6274
12055,29721
12056,10723
12057,18449
12058,14144
12059,8928
12060,3895
12061,10590
12062,4639
12063,2343
12064,3436
12065,1837
12066,18806
12067,5476
12069,2408
12070,1785
12071,6817
12072,2593
12038,35365
12073,4947
12074,5756
13001,5311
13002,9660
13003,14180
13004,2501
13005,4801
13006,5685
13007,3287
13008,12246
13010,7833
13011,4891
13013,10032
13012,7238
13014,4912
13015,4991
13017,4021
13018,6369
13019,4654
13016,14689
13009,4619
13020,824
13021,3959
13022,4147
13023,9085
13024,4594
13025,5418
13026,3202
13027,6970
13028,31119
13029,11999
13030,24545
13031,3988
13032,2738
13033,952
13040,2865
13034,2484
13035,2939
13037,6117
13051,43539
13038,2416
13039,3703
13041,11957
13042,3350
13043,2130
13044,4946
13045,2391
13048,78571
13047,1490
13049,4388
13050,5892
13036,2757
13052,9281
13053,5196
13046,9622
13054,9187
13055,4535
13056,9921
13057,4256
13058,4664
13059,9882
13060,4997
13061,15262
13062,7510
13063,22569
13064,3135
13065,2919
13067,13397
13068,4093
13069,32358
13070,4856
13071,3229
13072,2835
13073,9355
13074,6796
13075,4362
13076,30095
13077,41997
13066,3105
13078,4446
13079,2315
13080,5777
13081,9635
13082,4984
13083,12516
13084,10770
14001,5728
14002,5857
14003,6230
14004,1449
14005,3808
14006,17089
14008,20601
14010,1581
14011,1473
14012,1167
14013,15994
14014,2343
14015,16385
14016,9479
14017,3276
14019,1651
14020,2802
14117,1249
14021,6271
14030,13597
14031,854
14032,1463
14022,11478
14024,7050
14025,4891
14026,1697
14027,4656
14028,610
14029,4833
14033,5725
14034,586
14009,4955
14037,6679
14054,1720
14070,44921
14035,13615
14036,5052
14079,3451
14038,1215
14039,393530
14040,2471
14041,1618
14042,2251
14044,14363
14045,4997
14046,8399
14047,6088
14048,5336
14049,2776
14050,10554
14051,4719
14052,1556
14018,16246
14043,7063
14057,1093
14053,40658
14055,5671
14058,4134
14059,3469
14060,1538
14061,4461
14062,964
14063,25816
14064,7582
14065,3441
14066,11427
14067,79622
14069,2411
14071,808
14072,1782
14113,4220
14125,4888
14073,16909
14007,2514
14074,4315
14075,1004
14076,862
14077,7819
14078,8584
14098,166239
14080,1642
14081,873
14056,580
14082,9243
14083,21156
14084,4063
14085,11122
14086,4407
14087,4619
14089,1006
14088,4988
14090,2078
14091,10918
14092,3035
14093,36152
14094,9956
14095,2587
14096,5712
14097,145220
14099,2559
14100,9682
14101,129922
14102,1702
14103,2203
14104,1396
14105,6083
14106,1129
14107,1558
14108,8550
14109,4439
14110,3750
14111,1838
14112,1619
14114,4683
14115,1539
14116,5282
14068,3119
14118,6503
14119,7133
14120,358742
14121,7618
14122,1792
14123,4491
14023,27948
14124,17671
15001,16184
15002,40245
15003,12581
15004,3811
15005,41966
15006,2533
15007,6110
15008,6936
15009,12439
15010,7266
15011,14899
15012,2636
15013,144485
15014,24392
15015,7213
15016,7102
15017,2499
15018,13394
15019,8108
15025,88515
15026,6815
15027,3068
15028,6926
15029,54270
15030,5454
15031,166492
15020,81614
15021,9463
15022,3565
15023,9643
15024,41781
15121,148877
15032,7694
15033,436963
15034,2211
15064,9045
15035,34044
15036,10165
15037,72664
15038,2795
15039,128859
15040,8987
15041,1672
15042,35263
15044,7131
15045,22126
15046,4613
15047,17211
15048,16380
15049,3266
15050,6215
15070,74863
15051,34366
15123,6686
15052,6873
15053,13696
15054,59571
15055,2878
15056,7223
15057,231174
15059,10138
15058,280391
15060,105282
15061,2422
15062,14857
15063,7989
15065,9137
15066,970
15067,17713
15068,6742
15069,1031
15071,3646
15072,3077
15073,7082
15074,28552
15124,19574
15075,7108
15076,17775
15077,1430
15078,2456
15079,3486
15080,6323
15081,122551
15082,18845
15083,3354
15084,9880
15085,15548
15086,7557
15087,22211
15088,23582
15089,3174
15090,20144
15091,15884
15092,14373
15093,7308
15094,4662
15095,24549
15096,9510
15097,4576
15098,1306
15099,61978
15100,10215
15101,16993
15102,4151
15103,12046
15104,198653
15105,8976
15106,218639
15125,2251
15107,3347
15108,39933
15109,138210
15110,17766
15122,99446
15111,11688
15112,11532
15113,16662
15114,22354
15043,6822
15115,11405
15116,1034
15117,3747
15118,44258
15119,3831
15120,50158
16001,2875
16002,3996
16003,5404
16004,4063
16005,2558
16006,33461
16007,778
16008,5776
16009,9419
16010,5854
16011,2893
16012,12417
16013,2507
16021,2997
16022,5234
16023,2970
16024,4247
16025,9139
16026,1325
16027,1380
16028,1584
16029,3530
16014,4030
16015,4826
16016,5794
16074,2759
16017,8616
16018,2322
16019,5237
16020,7035
16030,3775
16031,4411
16032,3866
16033,6113
16034,29421
16036,3361
16037,2512
16038,11503
16039,2058
16040,4071
16041,3723
16042,3418
16043,17669
16044,3706
16045,9203
16113,7140
16046,3709
16047,5318
16035,8813
16069,27054
16048,1417
16052,49386
16075,17686
16049,4312
16050,21703
16051,3937
16053,215405
16054,2114
16055,11663
16056,6102
16057,2051
16058,4623
16059,2139
16060,2446
16061,5579
16062,4977
16063,4315
16065,9026
16064,6651
16066,22767
16067,4751
16068,6967
16070,4154
16071,17361
16072,3452
16073,6866
16076,19771
16079,11803
16077,5081
16078,3111
16080,4436
16081,2158
16082,19056
16083,7541
16084,6810
16085,9244
16086,3985
16087,3948
16088,29052
16089,6881
16090,3599
16091,3936
16092,3518
16093,6586
16094,1879
16095,3429
16096,1739
16097,8292
16098,7039
16099,3931
16100,3555
16101,2074
16102,86647
16103,6839
16104,4619
16105,5210
16106,7517
16107,19860
16108,52767
16109,975
16110,12251
16111,4236
16112,40789
17001,4859
17002,5881
17003,8782
17004,22804
17005,2889
17006,53840
17007,107190
17008,27289
17009,4928
17010,4580
17011,60509
17012,16503
17013,4308
17014,2823
17015,7092
17016,4634
17017,16802
17018,30363
17033,3974
17019,7171
17020,13008
17021,2319
17022,4882
17023,1788
17024,14521
17025,9507
17026,4480
17027,3218
17028,18527
17029,28414
17030,13081
17031,10444
17032,2574
18001,10354
18002,4755
18003,3595
18020,42723
18004,21781
18009,7882
18005,2789
18006,8197
18007,4763
18019,3256
18010,9837
18011,6640
18012,13234
18013,2266
18014,6498
18015,28998
18016,11695
18017,117850
18018,9169
18008,16271
19001,708
19002,848
19004,10054
19005,5225
19006,157881
19007,4324
19008,1213
19009,27685
19011,2521
19013,3343
19012,11836
19014,8352
19015,536
19016,848
19010,10474
19017,11129
19018,67285
19020,1700
19021,109822
19022,4596
19023,379
19024,1562
19025,17816
19026,185778
19047,3864
19028,449
19029,2009
19030,994
19031,88359
19032,1570
19033,22265
19003,475
19027,622
19042,1510
19034,1493
19035,315
19036,1683
19037,1455
19038,18024
19039,303546
19040,326
19041,24256
19043,778
19044,10956
19045,14778
19046,120738
19019,34730
19048,77899
19049,12566
19050,582
19051,1385
20001,223
20002,12644
20174,1052
20003,662
20004,251
20005,4631
20006,4879
20007,815
20008,255
20398,1277
20009,1869
20011,304
20012,2392
20247,416
20025,3183
20026,2567
20027,756
20013,866
20014,8252
20015,1084
20016,1661
20018,242
20019,839
20020,804
20021,4343
20022,276
20023,5349
20024,955
20010,4355
20030,2464
20029,1097
20032,295
20034,323
20033,694
20035,148
20036,1469
20028,5350
20039,19440
20043,25184
20397,10414
20549,3139
20040,1540
20041,8284
20065,377
20042,2308
20017,939
20069,616
20076,803
20556,77
20044,12874
20045,2317
20046,934
20048,238
20049,294
20050,897
20051,1002
20052,1862
20053,399
20562,421
20054,142
20055,913
20056,401
20057,10770
20058,3507
20037,1085
20059,11021
20060,666
20061,699
20062,141
20063,1020
20064,2094
20504,397
20067,69276
20068,5427
20070,1717
20071,681
20073,8975
20075,932
20077,923
20078,316
20079,25813
20080,480
20081,541
20082,1093
20083,2252
20084,1103
20085,4991
20086,326
20087,1079
20088,793
20089,556
20090,1645
20091,1416
20092,456
20093,167
20094,521
20095,947
20096,200
20097,492
20098,1153
20099,121
20100,175
20101,196
20102,1108
20103,1546
20104,667
20105,1755
20106,80
20107,5487
20108,1074
20109,323
20110,402
20111,941
20112,834
20113,777
20114,219
20115,2450
20121,215
20122,199
20116,1111
20117,584
20118,620
20119,136
20120,120
20123,729
20124,4523
20125,3110
20126,1244
20127,297
20128,433
20129,120
20130,1490
20131,2556
20132,275
20133,1041
20134,6585
20135,1846
20136,2739
20137,831
20138,165
20139,525
20140,230
20141,2056
20142,315
20143,2616
20144,314
20145,1092
20146,653
20147,113
20148,434
20149,421
20150,3096
20151,95
20152,425
20153,1226
20154,643
20155,221
20156,1034
20157,4392
20158,580
20159,1104
20160,405
20161,730
20162,459
20163,467
20550,1435
20164,749
20165,398
20166,3169
20167,505
20072,1608
20168,280
20169,1029
20170,849
20171,4722
20172,147
20173,478
20175,405
20176,766
20177,2915
20178,1813
20179,388
20180,728
20181,151
20183,341
20182,500
20184,46259
20559,5734
20185,2261
20191,100
20192,426
20186,162
20187,510
20188,2498
20189,614
20190,6449
20206,666
20193,684
20194,411
20195,366
20196,128
20197,939
20198,8649
20199,155
20200,1058
20201,551
20202,995
20203,736
20204,191
20205,4285
20207,4722
20208,2252
20209,199
20210,1520
20211,589
20212,738
20213,772
20214,517
20215,224
20216,343
20217,807
20218,151
20219,717
20220,802
20221,374
20222,464
20223,130
20224,169
20225,1558
20226,762
20227,4121
20228,190
20229,1589
20230,269
20231,699
20232,4919
20233,444
20234,1911
20235,1024
20236,377
20237,413
20238,219
20239,314
20240,517
20241,319
20242,2014
20243,454
20244,967
20245,338
20246,188
20248,3412
20250,317
20251,266
20252,602
20253,614
20254,821
20255,536
20256,62
20249,901
20566,807
20257,302
20258,235
20259,504
20260,563
20261,1695
20262,285
20264,592
20265,1836
20263,789
20266,2074
20267,79
20268,241
20269,1368
20270,314
20271,502
20272,1178
20273,778
20274,307
20275,2133
20276,200
20278,10205
20279,671
20281,94
20282,210
20283,275
20284,699
20285,900
20286,878
20287,101
20288,184
20289,333
20290,232
20291,1026
20292,294
20293,4639
20294,1859
20295,2429
20296,271
20297,526
20298,3288
20299,286
20300,1679
20301,433
20302,1021
20303,339
20305,1256
20304,236
20306,834
20307,2988
20308,785
20309,3176
20310,2081
20311,163
20312,2758
20313,293
20314,396
20315,474
20316,199
20317,407
20318,13157
20319,308
20320,221
20321,206
20322,227
20323,499
20324,11959
20325,2714
20326,1152
20327,4394
20328,303
