K_ENTIDAD_MUNICIPIO,POBLACION
01001,877190
01002,46464
01003,56048
01004,15577
01010,20245
01005,120405
01006,46473
01007,53866
01011,46454
01008,8896
01009,20926
02001,486639
02002,988417
02005,96734
02003,102406
02004,1641570
03001,72564
03003,272711
03009,18912
03008,287671
03002,60171
04010,28424
04001,56537
04002,283025
04011,43879
04003,248303
04004,90244
04009,58553
04005,31230
04006,40100
04007,8971
04008,10665
05001,1015
05002,147809
05003,22654
05004,23271
05005,1720
05006,28068
05007,13546
05008,3077
05009,58360
05010,80991
05011,12471
05012,1697
05013,1565
05014,10243
05015,1574
05016,1773
05017,108950
05018,231107
05019,8599
05020,69102
05021,6614
05022,30698
05023,11671
05024,44799
05025,163595
05026,3304
05027,92828
05028,63522
05029,2360
05030,807537
05031,23587
05032,43232
05033,106142
05034,6988
05035,679288
05036,21549
05037,6352
05038,13257
06001,29599
06002,150673
06003,21544
06004,20198
06005,30198
06006,5527
06007,184541
06008,8985
06009,123191
06010,136779
07001,18082
07002,31424
07003,28380
07113,6712
07004,32872
07005,19348
07006,30732
07007,9913
07008,28162
07009,40114
07010,7494
07011,20142
07114,20193
07012,51722
07013,34997
07015,45594
07016,17065
07022,16803
07023,87332
07024,12181
07025,7644
07026,39648
07027,100751
07028,5899
07029,5000
07030,34744
07031,127914
07017,84455
07018,9210
07019,153448
07021,21800
07014,22606
07070,14121
07032,31822
07033,7430
07034,73436
07035,14416
07037,35017
07039,23172
07038,23625
07040,54332
07042,11342
07043,10772
07044,27198
07045,5384
07046,39109
07047,20606
07048,21222
07020,46405
07036,7057
07041,44891
07050,4915
07099,76917
07049,23889
07052,122821
07075,28261
07051,47932
07115,12945
07116,11444
07053,7769
07054,29239
07055,5743
07056,11906
07117,7682
07057,72967
07058,4262
07059,218893
07060,12508
07061,92103
07062,18128
07063,3682
07064,48126
07065,119826
07066,22011
07067,12136
07068,31107
07069,53525
07072,31942
07073,9578
07074,45104
07076,26921
07077,63446
07118,5163
07078,209591
07079,39204
07112,34829
07110,7202
07119,3684
07080,35192
07081,44295
07082,13844
07083,18539
07084,8082
07085,10707
07086,24049
07087,38797
07088,2283
07089,348156
07090,3839
07091,12887
07092,41305
07093,43593
07094,43175
07096,77554
07097,89178
07098,7284
07100,34305
07102,41823
07101,598710
07103,31755
07104,15316
07105,15350
07106,65009
07071,28961
07107,79003
07108,104833
07109,37833
07111,41112
08001,12568
08002,24761
08003,8751
08004,15516
08005,24966
08006,6156
08007,16824
08008,11289
08009,27909
08010,23438
08011,51572
08012,9211
08013,11432
08019,878062
08020,7501
08014,2096
08015,1684
08017,168482
08018,4594
08021,148045
08022,2491
08064,1697
08023,6021
08025,8905
08026,2466
08027,45544
08028,5272
08029,56130
08030,7429
08031,39064
08032,109510
08033,952
08034,6903
08035,10974
08036,42860
08037,1391180
08038,4448
08016,3861
08039,4007
08040,29233
08041,1593
08042,1403
08043,2961
08044,4371
08045,44752
08046,7797
08047,5141
08048,23255
08049,2574
08050,63412
08051,7569
08052,28040
08053,5486
08054,7969
08055,16896
08056,2018
08057,2136
08058,2471
08059,5086
08060,10721
08024,4099
08061,3159
08062,31196
08063,6425
08065,20947
08066,6094
08067,5199
09010,749982
09002,400161
09014,417416
09003,608479
09004,199224
09015,532553
09005,1164477
09006,390348
09007,1827868
09008,243886
09016,364439
09009,137927
09011,361593
09012,677104
09017,427263
09013,415933
10001,32852
10002,4683
10003,4390
10004,35415
10005,654876
10018,11496
10006,10110
10007,342286
10008,35380
10009,9851
10010,3838
10011,4927
10012,153311
10013,26502
10014,39288
10015,12957
10016,19694
10039,27278
10017,9567
10019,5385
10020,12290
10021,10922
10022,25241
10023,50417
10024,13554
10025,3205
10026,19383
10027,5564
10028,12747
10029,2077
10030,1478
10031,7089
10032,48482
10033,6343
10034,26709
10035,11060
10036,22895
10037,9351
10038,21861
11001,90990
11002,112125
11004,68455
11005,92605
11006,5128
11007,494304
11009,82572
11010,12068
11011,95961
11012,28320
11013,24219
11014,152113
11015,184239
11016,21638
11017,574344
11018,38412
11019,49053
11020,1578626
11008,38832
11021,50377
11022,23528
11023,150570
11024,11872
11025,79798
11026,59879
11027,273271
11028,100391
11029,39668
11030,113109
11031,119510
11032,78794
11033,121027
11003,171857
11034,5261
11035,83060
11036,6824
11037,189567
11038,12256
11039,34263
11040,18960
11041,62761
11042,142672
11043,20166
11044,58830
11045,11639
11046,69763
12001,810669
12076,36449
12002,26858
12003,38134
12004,19368
12005,6657
12006,11159
12007,31406
12008,8731
12009,5476
12010,27212
12011,60382
12012,69716
12013,14865
12014,15318
12015,13286
12028,129867
12029,273106
12016,12725
12078,18458
12017,13457
12018,14304
12019,14866
12020,20192
12021,76306
12022,39002
12023,27266
12024,7649
12025,16415
12026,8559
12027,19746
12075,51316
12030,20855
12031,5780
12032,37340
12033,15287
12034,37094
12035,151660
12036,11383
12081,11114
12037,6179
12079,17661
12039,24890
12080,7576
12068,26432
12040,26342
12041,25584
12077,13730
12042,18526
12043,19456
12044,12752
12045,25483
12046,67641
12047,6883
12048,44263
12049,12900
12050,37494
12051,35926
12052,43671
12053,49449
12054,27853
12055,108416
12056,46812
12057,64577
12058,57377
12059,31599
12060,14658
12061,42653
12062,22771
12063,9753
12064,12404
12065,7407
12066,87967
12067,21995
12069,11726
12070,7201
12071,28839
12072,11221
12038,124824
12073,18206
12074,22721
